ID,Question,Answer
344,Which cooking_school is closest to the corner of 100th Street East and 111th Street East?,Claremont Chefs Academy
345,Which charging_station is nearest to the junction of 1 and 10th Street?,eVgo
346,Which canteen is nearest to the junction of 110th Street West and 115 Street East?,Brandywine
347,Which check_cashing is nearest to the junction of 107th Street and 10th Street?,Nix / Payday Today Check Cashing
348,Which dentist is nearest to the corner of 10th Street East and 116?,ACE Dental
349,Which book_return is closest to where 11th Street meets 10th Street West?,Cerritos Library book return
350,Which construction is closest to the junction of 11th Street and 10th Avenue?,Fish District Eatery
351,Which fire_station is nearest to the junction of 110th Street East and 102nd Street East?,Long Beach Fire Station 21
352,Which dressing_room is closest to the corner of 10th Avenue and 10th Avenue?,Locker Rooms
353,Which car_wash;car_detail;oil_change is nearest to the junction of 10th Street West and 109?,Vineyard Car Wash
354,Which dancing_school is closest to where 11th Avenue meets 10th Street?,West LA Academy of Dance
355,Which church is nearest to the intersection of 10th Street and 115th Street?,Calvary Chapel Children's Church
356,Which charging_station is nearest to the corner of 10th Street and 10th Street?,eVgo
357,Which college is closest to where 10th Street meets 11th Avenue?,Distance Education Center
358,Which casino is nearest to the corner of 11th Street and 10th Street West?,The Commerce Casino
359,Which archive is nearest to the corner of 11th Place and 10th Avenue?,Academy of Motion Picture Arts and Sciences Film Archive
360,Which conference_centre is closest to where 110th Street East meets 110th Street West?,Long Beach Civic Center
361,Which canteen is closest to the intersection of 108th Street and 10th Avenue?,The Anteatery
362,Which dive_centre is closest to the junction of 10th Street West and 10th Street West?,Depth Perceptions
363,Which bear_box is closest to the intersection of 10th Street East and 10?,Gould Mesa Trail Camp
364,Which coworking_space;daycare is nearest to the junction of 10th Street West and 10th Street West?,Collab&Play
365,Which dojo is nearest to the junction of 11th Street and 11th Place?,Caique Jiu Jitsu
366,Which conference_centre is nearest to the corner of 11th Street and 10th Street?,Long Beach Civic Center
367,Which dispensary is nearest to the corner of 11th Street and 108?,Southern Lites Collective
368,Which conference_centre is nearest to the intersection of 10th Street and 10th Street?,Long Beach Civic Center
369,Which bar is closest to the intersection of 10th Street West and 10th Street West?,The Villa
370,Which club is nearest to the corner of 10th Street and 10th Street West?,Mustang Daily
371,Which check_cashing is nearest to the intersection of 10th Street West and 11th Avenue?,Nix / Payday Today Check Cashing
372,Which cinema is closest to the junction of 111 and 10th Street?,Cinemark
373,Which convenience_store is closest to the intersection of 10th Street and 110st East?,7-Eleven
374,Which fast_food is closest to the corner of 100th Street West and 10th Street?,Jollibee
375,Which doctors is nearest to the junction of 119th Street and 10th Street West?,Bay Chiropractic
376,Which arts_centre is nearest to the intersection of 11th Street and 110?,Anaheim Cultural Arts Center
377,Which coffee is closest to the intersection of 10th Street West and 110th Street East?,Bikes and Brew
378,Which car_wash;car_detail;oil_change is closest to where 105th Street West meets 11th Street?,Vineyard Car Wash
379,Which bicycle_rental is nearest to the intersection of 11th Street and 10th Street?,Echo Park & Park
380,Which animal_training is closest to where 117th Street West meets 10th Avenue?,I Said Sit!
381,Which family_planning is nearest to the corner of 110th Street West and 118th Street East?,West Coast Surrogacy
382,Which art_school is closest to the corner of 112th Street East and 11th Street?,Art Zone
383,Which conference_centre is nearest to the corner of 10th Street and 10?,Long Beach Civic Center
384,Which audiologist is closest to where 114 meets 103rd Street East?,HearUSA
385,Which dressing_room is nearest to the corner of 11th Avenue and 10th Street?,Locker Rooms
386,Which fire_station is nearest to the intersection of 102nd Street East and 11th Street?,Long Beach Fire Station 21
387,Which clinic is closest to where 104 meets 111?,medical offices
388,Which atm is nearest to the junction of 10th Street and 10th Street?,Wells Fargo
389,Which coffee is nearest to the junction of 10th Street West and 112?,Bikes and Brew
390,Which dive_centre is nearest to the intersection of 11th Street and 10th Street West?,Depth Perceptions
391,Which childcare is closest to the corner of 10th Street West and 06031?,Tiny Heartz Daycare LLC
392,Which cooking_school is nearest to the corner of 10th Avenue and 102nd Street East?,Claremont Chefs Academy
393,Which driving_school is nearest to the junction of 10th Street and 10th Street West?,Freeway Easy Traffic and Driving School
394,Which bench is closest to the corner of 10th Street West and 11th Court?,Red Point
395,Which binoculars is nearest to the junction of 10th Avenue and 11?,Nob Hill
396,Which donation is nearest to the corner of 105 and 11th Avenue?,Goodwill
397,Which Attorneys is nearest to the junction of 112 and 10th Street?,Law Office of Raymond Perez
398,Which Addiction Treatment is nearest to the intersection of 11th Street and 104th Street East?,Compass Recovery
399,Which donation is closest to where 10th Street meets 10th Street West?,Goodwill
